doc_id,sent_id,event_type,trigger_word,agent,patient,time_expr,sentence,event_id,trigger_lemma,trigger_token,agent_key,patient_key,time_key,time_prep,location,location_key,negated,confidence
wn-0006,9,landing,descent,,the probe,,"So far, ESA has released least three pictures&amp;mdash;two from the probe's descent through the atmosphere under parachutes and then a picture near the surface.",wn-0006:9:232,descent,232,,,,,,,False,0.55
wn-0007,2,launch,launch,,,,"""The spaceship's re-entry module, orbital capsule and propulsion module are being equipped, and preparation work for the launch is in full swing"", said Sun Laiyan, Director of China's National Space Administration.",wn-0007:2:79,launch,79,,,,,,,False,0.5
wn-0007,3,landing,landed,,the Shenzhou V spaceship,October 2003,"China's first manned space mission happened in October 2003, in which the Shenzhou V spaceship circled the Earth fourteen times and landed safely by parachute on the northern plains of China.",wn-0007:3:122,land,122,,,DATE:October 2003,,,,False,0.65
wn-0007,5,landing,land,China,,the next few years,"Within the next few years, China also plans to land on the Moon.",wn-0007:5:177,land,177,GPE:China,,DATE:next few years,,Moon,CELESTIAL:Moon,False,0.7
wn-0008,0,discovery,found,Rover Opportunity,a basketball-sized iron meteorite,,"NASA's Mars Exploration Rover Opportunity has found a basketball-sized iron meteorite near heat shield debris at Meridiani Planum, Opportunity's landing location on Mars.",wn-0008:0:7,find,7,SPACECRAFT:Rover Opportunity,,,,Meridiani Planum,ORG:Meridiani Planum,False,0.7
wn-0008,0,landing,landing,,,,"NASA's Mars Exploration Rover Opportunity has found a basketball-sized iron meteorite near heat shield debris at Meridiani Planum, Opportunity's landing location on Mars.",wn-0008:0:24,landing,24,,,,,,,False,0.5
wn-0008,1,discovery,identified,,any type,,It is the first meteorite of any type ever identified on another planet.,wn-0008:1:39,identify,39,,,,,,,False,0.6
wn-0008,5,discovery,found,They,geological evidence,,They have found geological evidence of past wet environmental conditions that might have been hospitable to life.,wn-0008:5:130,find,130,,,,,,,False,0.6
wn-0009,0,discovery,detected,the NASA-led Swift satellite mission,,Jan. 17,"On Jan. 17, the NASA-led Swift satellite mission detected and imaged its first gamma-ray burst, one of the most powerful explosions to occur in the universe.",wn-0009:0:11,detect,11,,,DATE:Jan. 17,on,,,False,0.6
wn-0009,0,failure,explosions,,,Jan. 17,"On Jan. 17, the NASA-led Swift satellite mission detected and imaged its first gamma-ray burst, one of the most powerful explosions to occur in the universe.",wn-0009:0:26,explosion,26,,,DATE:Jan. 17,,,,False,0.55
wn-0009,1,failure,exploding,,,less than 200 seconds,"The burst was in the midst of exploding as Swift, designed to autonomously repoint itself, turned and focused in less than 200 seconds on the event.",wn-0009:1:41,explode,41,,,TIME:less than 200 seconds,,,,False,0.6
wn-0009,2,discovery,detected,,gamma rays,,"The satellite was fast enough to capture an image with its X-Ray Telescope (XRT), while gamma rays were still being detected with the Burst Alert Telescope (BAT).",wn-0009:2:88,detect,88,,,,,,,False,0.6
wn-0009,8,discovery,detect,this,these fleeting gamma-ray bursts,about a minute,"""And this is what Swift was built to do: to detect these fleeting gamma-ray bursts and focus its telescopes on them autonomously within about a minute.",wn-0009:8:225,detect,225,,,TIME:about a minute,,,,False,0.65
wn-0009,11,discovery,detects,BAT,bursts,,The BAT detects bursts and initiates the autonomous slewing to bring the XRT and the Ultraviolet/Optical Telescope (UVOT) within focus of the burst.,wn-0009:11:266,detect,266,ORG:BAT,,,,,,False,0.7
wn-0009,12,discovery,detecting,BAT,bursts,December,"In December, the BAT started detecting bursts, including a remarkable triple detection on Dec. 19.",wn-0009:12:298,detect,298,ORG:BAT,,DATE:December,,,,False,0.75
wn-0009,12,discovery,detection,,,Dec. 19,"In December, the BAT started detecting bursts, including a remarkable triple detection on Dec. 19.",wn-0009:12:305,detection,305,,,DATE:Dec. 19,on,,,False,0.55
wn-0009,13,discovery,detection,,BAT,Today,"Today's announcement marks the first BAT detection autonomously followed by XRT detection, demonstrating the satellite is swiftly slewing as planned.",wn-0009:13:317,detection,317,,ORG:BAT,DATE:Today,,,,False,0.75
wn-0009,13,discovery,detection,,XRT,Today,"Today's announcement marks the first BAT detection autonomously followed by XRT detection, demonstrating the satellite is swiftly slewing as planned.",wn-0009:13:322,detection,322,,ORG:XRT,DATE:Today,,,,False,0.75
wn-0009,14,discovery,detected,,the burst,,"The UVOT is still being tested, and it was not collecting data when the burst was detected.",wn-0009:14:350,detect,350,,,,,,,False,0.6
wn-0009,16,failure,explosion,,,,"""We are frantically analyzing the XRT data to understand the X-ray emission seen during the initial explosion and the very early afterglow,"" said Dr. David Burrows, the XRT lead at Penn State.",wn-0009:16:383,explosion,383,,,,,,,False,0.5
wn-0009,21,failure,explosions,,,,At least some appear to originate in massive star explosions.,wn-0009:21:459,explosion,459,,,,,,,False,0.5
wn-0009,26,failure,explosion,,,,*Determine how the explosion develops.,wn-0009:26:529,explosion,529,,,,,,,False,0.5
